This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cd, ln(Reynolds#)
6,0,6,75000,0.25,-20,0.332476,11.2252433925184
6,0,6,75000,0.25,-19,0.31068,11.2252433925184
6,0,6,75000,0.25,-18,0.289406,11.2252433925184
6,0,6,75000,0.25,-17,0.268743,11.2252433925184
6,0,6,75000,0.25,-16,0.248575,11.2252433925184
6,0,6,75000,0.25,-15,0.22887,11.2252433925184
6,0,6,75000,0.25,-14,0.209841,11.2252433925184
6,0,6,75000,0.25,-13,0.191321,11.2252433925184
6,0,6,75000,0.25,-12,0.17301,11.2252433925184
6,0,6,75000,0.25,-11,0.154231,11.2252433925184
6,0,6,75000,0.25,-10,0.136617,11.2252433925184
6,0,6,75000,0.25,-9,0.116276,11.2252433925184
6,0,6,75000,0.25,-8,0.092409,11.2252433925184
6,0,6,75000,0.25,-7,0.05961,11.2252433925184
6,0,6,75000,0.25,-6,0.036442,11.2252433925184
6,0,6,75000,0.25,-5,0.024923,11.2252433925184
6,0,6,75000,0.25,-4,0.020026,11.2252433925184
6,0,6,75000,0.25,-3,0.017598,11.2252433925184
6,0,6,75000,0.25,-2,0.016191,11.2252433925184
6,0,6,75000,0.25,-1,0.015446,11.2252433925184
6,0,6,75000,0.25,0,0.015211,11.2252433925184
6,0,6,75000,0.25,1,0.015447,11.2252433925184
6,0,6,75000,0.25,2,0.016196,11.2252433925184
6,0,6,75000,0.25,3,0.017606,11.2252433925184
6,0,6,75000,0.25,4,0.020041,11.2252433925184
6,0,6,75000,0.25,5,0.024959,11.2252433925184
6,0,6,75000,0.25,6,0.036542,11.2252433925184
6,0,6,75000,0.25,7,0.060431,11.2252433925184
6,0,6,75000,0.25,8,0.092414,11.2252433925184
6,0,6,75000,0.25,9,0.116449,11.2252433925184
6,0,6,75000,0.25,10,0.136306,11.2252433925184
6,0,6,75000,0.25,11,0.154027,11.2252433925184
6,0,6,75000,0.25,12,0.172315,11.2252433925184
6,0,6,75000,0.25,13,0.191001,11.2252433925184
6,0,6,75000,0.25,14,0.209033,11.2252433925184
6,0,6,75000,0.25,15,0.228362,11.2252433925184
6,0,6,75000,0.25,16,0.247613,11.2252433925184
6,0,6,75000,0.25,17,0.267739,11.2252433925184
6,0,6,75000,0.25,18,0.288371,11.2252433925184
6,0,6,75000,0.25,19,0.309473,11.2252433925184
6,0,6,75000,0.25,20,0.331118,11.2252433925184
6,0,6,75000,0.35,-20,0.337057,11.2252433925184
6,0,6,75000,0.35,-19,0.314775,11.2252433925184
6,0,6,75000,0.35,-18,0.293079,11.2252433925184
6,0,6,75000,0.35,-17,0.271925,11.2252433925184
6,0,6,75000,0.35,-16,0.251407,11.2252433925184
6,0,6,75000,0.35,-15,0.231386,11.2252433925184
6,0,6,75000,0.35,-14,0.211723,11.2252433925184
6,0,6,75000,0.35,-13,0.192936,11.2252433925184
6,0,6,75000,0.35,-12,0.174067,11.2252433925184
6,0,6,75000,0.35,-11,0.155639,11.2252433925184
6,0,6,75000,0.35,-10,0.137256,11.2252433925184
6,0,6,75000,0.35,-9,0.117598,11.2252433925184
6,0,6,75000,0.35,-8,0.095072,11.2252433925184
6,0,6,75000,0.35,-7,0.06488,11.2252433925184
