This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cl, ln(Reynolds#)
6,0,6,75000,0.25,-20,-0.836201,11.2252433925184
6,0,6,75000,0.25,-19,-0.821869,11.2252433925184
6,0,6,75000,0.25,-18,-0.807285,11.2252433925184
6,0,6,75000,0.25,-17,-0.792841,11.2252433925184
6,0,6,75000,0.25,-16,-0.778397,11.2252433925184
6,0,6,75000,0.25,-15,-0.76412,11.2252433925184
6,0,6,75000,0.25,-14,-0.751078,11.2252433925184
6,0,6,75000,0.25,-13,-0.739133,11.2252433925184
6,0,6,75000,0.25,-12,-0.728505,11.2252433925184
6,0,6,75000,0.25,-11,-0.718986,11.2252433925184
6,0,6,75000,0.25,-10,-0.713662,11.2252433925184
6,0,6,75000,0.25,-9,-0.710357,11.2252433925184
6,0,6,75000,0.25,-8,-0.705584,11.2252433925184
6,0,6,75000,0.25,-7,-0.674637,11.2252433925184
6,0,6,75000,0.25,-6,-0.613425,11.2252433925184
6,0,6,75000,0.25,-5,-0.531331,11.2252433925184
6,0,6,75000,0.25,-4,-0.43264,11.2252433925184
6,0,6,75000,0.25,-3,-0.327313,11.2252433925184
6,0,6,75000,0.25,-2,-0.219089,11.2252433925184
6,0,6,75000,0.25,-1,-0.109548,11.2252433925184
6,0,6,75000,0.25,0,0.000535,11.2252433925184
6,0,6,75000,0.25,1,0.110621,11.2252433925184
6,0,6,75000,0.25,2,0.220169,11.2252433925184
6,0,6,75000,0.25,3,0.32841,11.2252433925184
6,0,6,75000,0.25,4,0.433745,11.2252433925184
6,0,6,75000,0.25,5,0.532418,11.2252433925184
6,0,6,75000,0.25,6,0.614647,11.2252433925184
6,0,6,75000,0.25,7,0.677147,11.2252433925184
6,0,6,75000,0.25,8,0.705458,11.2252433925184
6,0,6,75000,0.25,9,0.709055,11.2252433925184
6,0,6,75000,0.25,10,0.711699,11.2252433925184
6,0,6,75000,0.25,11,0.717223,11.2252433925184
6,0,6,75000,0.25,12,0.725982,11.2252433925184
6,0,6,75000,0.25,13,0.73751,11.2252433925184
6,0,6,75000,0.25,14,0.748097,11.2252433925184
6,0,6,75000,0.25,15,0.762171,11.2252433925184
6,0,6,75000,0.25,16,0.775225,11.2252433925184
6,0,6,75000,0.25,17,0.789696,11.2252433925184
6,0,6,75000,0.25,18,0.804206,11.2252433925184
6,0,6,75000,0.25,19,0.818474,11.2252433925184
6,0,6,75000,0.25,20,0.832582,11.2252433925184
6,0,6,75000,0.35,-20,-0.846594,11.2252433925184
6,0,6,75000,0.35,-19,-0.831384,11.2252433925184
6,0,6,75000,0.35,-18,-0.816002,11.2252433925184
6,0,6,75000,0.35,-17,-0.800439,11.2252433925184
6,0,6,75000,0.35,-16,-0.785162,11.2252433925184
6,0,6,75000,0.35,-15,-0.770022,11.2252433925184
6,0,6,75000,0.35,-14,-0.754925,11.2252433925184
6,0,6,75000,0.35,-13,-0.742041,11.2252433925184
6,0,6,75000,0.35,-12,-0.729335,11.2252433925184
6,0,6,75000,0.35,-11,-0.719422,11.2252433925184
6,0,6,75000,0.35,-10,-0.712379,11.2252433925184
6,0,6,75000,0.35,-9,-0.707626,11.2252433925184
6,0,6,75000,0.35,-8,-0.703838,11.2252433925184
6,0,6,75000,0.35,-7,-0.683822,11.2252433925184
6,0,6,75000,0.35,-6,-0.627846,11.2252433925184
6,0,6,75000,0.35,-5,-0.545705,11.2252433925184
6,0,6,75000,0.35,-4,-0.446388,11.2252433925184
6,0,6,75000,0.35,-3,-0.338026,11.2252433925184
6,0,6,75000,0.35,-2,-0.226266,11.2252433925184
6,0,6,75000,0.35,-1,-0.113124,11.2252433925184
6,0,6,75000,0.35,0,0.000508,11.2252433925184
6,0,6,75000,0.35,1,0.114153,11.2252433925184
6,0,6,75000,0.35,2,0.227293,11.2252433925184
6,0,6,75000,0.35,3,0.339051,11.2252433925184
6,0,6,75000,0.35,4,0.447403,11.2252433925184
6,0,6,75000,0.35,5,0.546706,11.2252433925184
6,0,6,75000,0.35,6,0.628956,11.2252433925184
6,0,6,75000,0.35,7,0.684532,11.2252433925184
6,0,6,75000,0.35,8,0.704061,11.2252433925184
6,0,6,75000,0.35,9,0.707045,11.2252433925184
6,0,6,75000,0.35,10,0.710496,11.2252433925184
6,0,6,75000,0.35,11,0.717525,11.2252433925184
6,0,6,75000,0.35,12,0.727146,11.2252433925184
6,0,6,75000,0.35,13,0.739178,11.2252433925184
6,0,6,75000,0.35,14,0.753307,11.2252433925184
6,0,6,75000,0.35,15,0.767535,11.2252433925184
6,0,6,75000,0.35,16,0.782703,11.2252433925184
6,0,6,75000,0.35,17,0.798035,11.2252433925184
6,0,6,75000,0.35,18,0.813396,11.2252433925184
6,0,6,75000,0.35,19,0.828615,11.2252433925184
