This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cm, ln(Reynolds#)
6,0,6,75000,0.25,-20,0.119919,11.2252433925184
6,0,6,75000,0.25,-19,0.116297,11.2252433925184
6,0,6,75000,0.25,-18,0.112758,11.2252433925184
6,0,6,75000,0.25,-17,0.109326,11.2252433925184
6,0,6,75000,0.25,-16,0.105914,11.2252433925184
6,0,6,75000,0.25,-15,0.10244,11.2252433925184
6,0,6,75000,0.25,-14,0.098958,11.2252433925184
6,0,6,75000,0.25,-13,0.095267,11.2252433925184
6,0,6,75000,0.25,-12,0.090964,11.2252433925184
6,0,6,75000,0.25,-11,0.085015,11.2252433925184
6,0,6,75000,0.25,-10,0.078784,11.2252433925184
6,0,6,75000,0.25,-9,0.066007,11.2252433925184
6,0,6,75000,0.25,-8,0.042735,11.2252433925184
6,0,6,75000,0.25,-7,0.004075,11.2252433925184
6,0,6,75000,0.25,-6,-0.004682,11.2252433925184
6,0,6,75000,0.25,-5,-0.003302,11.2252433925184
6,0,6,75000,0.25,-4,-0.002045,11.2252433925184
6,0,6,75000,0.25,-3,-0.001298,11.2252433925184
6,0,6,75000,0.25,-2,-0.000807,11.2252433925184
6,0,6,75000,0.25,-1,-0.00044,11.2252433925184
6,0,6,75000,0.25,0,-0.000127,11.2252433925184
6,0,6,75000,0.25,1,0.000185,11.2252433925184
6,0,6,75000,0.25,2,0.00055,11.2252433925184
6,0,6,75000,0.25,3,0.001037,11.2252433925184
6,0,6,75000,0.25,4,0.001782,11.2252433925184
6,0,6,75000,0.25,5,0.003039,11.2252433925184
6,0,6,75000,0.25,6,0.004387,11.2252433925184
6,0,6,75000,0.25,7,-0.005391,11.2252433925184
6,0,6,75000,0.25,8,-0.042958,11.2252433925184
6,0,6,75000,0.25,9,-0.066645,11.2252433925184
6,0,6,75000,0.25,10,-0.078618,11.2252433925184
6,0,6,75000,0.25,11,-0.085027,11.2252433925184
6,0,6,75000,0.25,12,-0.090558,11.2252433925184
6,0,6,75000,0.25,13,-0.095193,11.2252433925184
6,0,6,75000,0.25,14,-0.09859,11.2252433925184
6,0,6,75000,0.25,15,-0.102265,11.2252433925184
6,0,6,75000,0.25,16,-0.105505,11.2252433925184
6,0,6,75000,0.25,17,-0.108918,11.2252433925184
6,0,6,75000,0.25,18,-0.112348,11.2252433925184
6,0,6,75000,0.25,19,-0.11582,11.2252433925184
6,0,6,75000,0.25,20,-0.119394,11.2252433925184
6,0,6,75000,0.35,-20,0.121177,11.2252433925184
6,0,6,75000,0.35,-19,0.117296,11.2252433925184
6,0,6,75000,0.35,-18,0.113518,11.2252433925184
6,0,6,75000,0.35,-17,0.109803,11.2252433925184
6,0,6,75000,0.35,-16,0.10616,11.2252433925184
6,0,6,75000,0.35,-15,0.10248,11.2252433925184
6,0,6,75000,0.35,-14,0.098587,11.2252433925184
6,0,6,75000,0.35,-13,0.094703,11.2252433925184
6,0,6,75000,0.35,-12,0.089981,11.2252433925184
6,0,6,75000,0.35,-11,0.084489,11.2252433925184
6,0,6,75000,0.35,-10,0.077489,11.2252433925184
6,0,6,75000,0.35,-9,0.066312,11.2252433925184
6,0,6,75000,0.35,-8,0.046416,11.2252433925184
6,0,6,75000,0.35,-7,0.010091,11.2252433925184
6,0,6,75000,0.35,-6,-0.00512,11.2252433925184
6,0,6,75000,0.35,-5,-0.00432,11.2252433925184
6,0,6,75000,0.35,-4,-0.002604,11.2252433925184
6,0,6,75000,0.35,-3,-0.001586,11.2252433925184
6,0,6,75000,0.35,-2,-0.000953,11.2252433925184
6,0,6,75000,0.35,-1,-0.000502,11.2252433925184
6,0,6,75000,0.35,0,-0.00012,11.2252433925184
6,0,6,75000,0.35,1,0.00026,11.2252433925184
6,0,6,75000,0.35,2,0.000711,11.2252433925184
6,0,6,75000,0.35,3,0.001345,11.2252433925184
