NACA,Camber,Thickness,Re,Mach,Alpha,Cl,Cd,Cm
4406,4,6,75000,0.25,-20,-0.63176,0.306667,0.062786
4406,4,6,75000,0.25,-19,-0.612915,0.286472,0.059021
4406,4,6,75000,0.25,-18,-0.593752,0.2669,0.055447
4406,4,6,75000,0.25,-17,-0.574371,0.247971,0.052066
4406,4,6,75000,0.25,-16,-0.554935,0.229713,0.048875
4406,4,6,75000,0.25,-15,-0.535562,0.212135,0.045848
4406,4,6,75000,0.25,-14,-0.516291,0.195207,0.042928
4406,4,6,75000,0.25,-13,-0.497319,0.178956,0.040042
4406,4,6,75000,0.25,-12,-0.478847,0.163405,0.037079
4406,4,6,75000,0.25,-11,-0.460393,0.148365,0.03376
4406,4,6,75000,0.25,-10,-0.442496,0.134132,0.029851
4406,4,6,75000,0.25,-9,-0.422727,0.120043,0.024473
4406,4,6,75000,0.25,-8,-0.399264,0.106129,0.016652
4406,4,6,75000,0.25,-7,-0.363475,0.091104,0.002838
4406,4,6,75000,0.25,-6,-0.314779,0.076464,-0.016801
4406,4,6,75000,0.25,-5,-0.216422,0.05899,-0.048266
4406,4,6,75000,0.25,-4,-0.05712,0.03869,-0.084069
4406,4,6,75000,0.25,-3,0.087419,0.022416,-0.09666
4406,4,6,75000,0.25,-2,0.201488,0.018104,-0.097855
4406,4,6,75000,0.25,-1,0.312757,0.016832,-0.098084
4406,4,6,75000,0.25,0,0.422932,0.016467,-0.098011
4406,4,6,75000,0.25,1,0.53202,0.016679,-0.097726
4406,4,6,75000,0.25,2,0.639714,0.017378,-0.097229
4406,4,6,75000,0.25,3,0.745424,0.018579,-0.09646
4406,4,6,75000,0.25,4,0.848149,0.020383,-0.095309
4406,4,6,75000,0.25,5,0.946161,0.022994,-0.093591
4406,4,6,75000,0.25,6,1.035904,0.026832,-0.090954
4406,4,6,75000,0.25,7,1.111044,0.032953,-0.086909
4406,4,6,75000,0.25,8,1.165748,0.043233,-0.081884
4406,4,6,75000,0.25,9,1.184082,0.058564,-0.076917
4406,4,6,75000,0.25,10,1.171377,0.081009,-0.078761
4406,4,6,75000,0.25,11,1.11552,0.11851,-0.098549
4406,4,6,75000,0.25,12,1.063112,0.153913,-0.117542
4406,4,6,75000,0.25,13,0.994868,0.187267,-0.134825
4406,4,6,75000,0.25,14,0.984368,0.212606,-0.142464
4406,4,6,75000,0.25,15,0.982284,0.237535,-0.14919
4406,4,6,75000,0.25,16,0.985827,0.261495,-0.15454
4406,4,6,75000,0.25,17,0.990631,0.28427,-0.158559
4406,4,6,75000,0.25,18,0.998061,0.30775,-0.162727
4406,4,6,75000,0.25,19,1.007104,0.331729,-0.166904
4406,4,6,75000,0.25,20,1.014527,0.355002,-0.170347
4406,4,6,75000,0.35,-20,-0.637071,0.310368,0.062077
4406,4,6,75000,0.35,-19,-0.61722,0.289747,0.058022
4406,4,6,75000,0.35,-18,-0.59698,0.269763,0.05416
4406,4,6,75000,0.35,-17,-0.576565,0.250477,0.050505
4406,4,6,75000,0.35,-16,-0.555942,0.231845,0.047033
4406,4,6,75000,0.35,-15,-0.535118,0.213842,0.043709
4406,4,6,75000,0.35,-14,-0.514684,0.196642,0.040548
4406,4,6,75000,0.35,-13,-0.494223,0.180046,0.037413
4406,4,6,75000,0.35,-12,-0.474206,0.164173,0.034226
4406,4,6,75000,0.35,-11,-0.454526,0.148946,0.030782
4406,4,6,75000,0.35,-10,-0.434622,0.134259,0.026666
4406,4,6,75000,0.35,-9,-0.413386,0.119945,0.021181
4406,4,6,75000,0.35,-8,-0.388485,0.105749,0.013211
4406,4,6,75000,0.35,-7,-0.356608,0.091615,0.001367
4406,4,6,75000,0.35,-6,-0.307386,0.076808,-0.017341
4406,4,6,75000,0.35,-5,-0.220296,0.060379,-0.046317
4406,4,6,75000,0.35,-4,-0.06971,0.041181,-0.082092
4406,4,6,75000,0.35,-3,0.084976,0.023928,-0.098861
4406,4,6,75000,0.35,-2,0.204874,0.018366,-0.100593
4406,4,6,75000,0.35,-1,0.319961,0.01699,-0.100789
4406,4,6,75000,0.35,0,0.433709,0.016654,-0.100654
4406,4,6,75000,0.35,1,0.546259,0.016904,-0.100291
4406,4,6,75000,0.35,2,0.657336,0.017634,-0.099682
4406,4,6,75000,0.35,3,0.766349,0.018858,-0.098743
4406,4,6,75000,0.35,4,0.872217,0.020675,-0.097333
4406,4,6,75000,0.35,5,0.97285,0.023313,-0.09521
4406,4,6,75000,0.35,6,1.063477,0.027285,-0.091892
4406,4,6,75000,0.35,7,1.135748,0.034046,-0.086866
4406,4,6,75000,0.35,8,1.178252,0.045107,-0.080561
4406,4,6,75000,0.35,9,1.194499,0.061395,-0.076798
4406,4,6,75000,0.35,10,1.170982,0.085224,-0.080956
4406,4,6,75000,0.35,11,1.111922,0.123263,-0.101968
4406,4,6,75000,0.35,12,1.031225,0.158873,-0.122242
4406,4,6,75000,0.35,13,1.002288,0.189719,-0.135844
4406,4,6,75000,0.35,14,0.9923,0.216083,-0.144392
4406,4,6,75000,0.35,15,0.992022,0.24103,-0.151012
4406,4,6,75000,0.35,16,0.995744,0.26466,-0.156018
4406,4,6,75000,0.35,17,1.003804,0.289135,-0.161184
4406,4,6,75000,0.35,18,1.010571,0.312354,-0.165084
4406,4,6,75000,0.35,19,1.020551,0.336821,-0.169484
4406,4,6,75000,0.35,20,1.028933,0.360668,-0.173182
4406,4,6,75000,0.45,-20,-0.649628,0.317297,0.062182
4406,4,6,75000,0.45,-19,-0.628597,0.296081,0.057727
4406,4,6,75000,0.45,-18,-0.606302,0.275216,0.053347
4406,4,6,75000,0.45,-17,-0.583147,0.254882,0.049079
4406,4,6,75000,0.45,-16,-0.561081,0.235779,0.045163
4406,4,6,75000,0.45,-15,-0.53951,0.21755,0.041587
4406,4,6,75000,0.45,-14,-0.515255,0.199186,0.037725
4406,4,6,75000,0.45,-13,-0.494427,0.182637,0.034397
4406,4,6,75000,0.45,-12,-0.471035,0.165872,0.0307
4406,4,6,75000,0.45,-11,-0.450055,0.150508,0.027067
4406,4,6,75000,0.45,-10,-0.427483,0.135321,0.022665
4406,4,6,75000,0.45,-9,-0.404323,0.120662,0.017145
4406,4,6,75000,0.45,-8,-0.378773,0.106535,0.009726
4406,4,6,75000,0.45,-7,-0.346957,0.092282,-0.001321
4406,4,6,75000,0.45,-6,-0.301446,0.077848,-0.017972
4406,4,6,75000,0.45,-5,-0.223846,0.06215,-0.044117
4406,4,6,75000,0.45,-4,-0.085194,0.044124,-0.079215
4406,4,6,75000,0.45,-3,0.080324,0.026498,-0.101675
4406,4,6,75000,0.45,-2,0.21083,0.018894,-0.104918
4406,4,6,75000,0.45,-1,0.332078,0.017213,-0.105149
4406,4,6,75000,0.45,0,0.451433,0.016891,-0.104957
4406,4,6,75000,0.45,1,0.569395,0.017193,-0.104502
4406,4,6,75000,0.45,2,0.685747,0.017991,-0.103725
4406,4,6,75000,0.45,3,0.799899,0.019292,-0.1025
4406,4,6,75000,0.45,4,0.910649,0.021196,-0.100623
4406,4,6,75000,0.45,5,1.015368,0.023957,-0.097754
4406,4,6,75000,0.45,6,1.107539,0.028254,-0.093281
4406,4,6,75000,0.45,7,1.1758,0.03583,-0.086862
4406,4,6,75000,0.45,8,1.210096,0.047899,-0.080143
4406,4,6,75000,0.45,9,1.214923,0.065934,-0.078288
4406,4,6,75000,0.45,10,1.173602,0.092283,-0.086317
4406,4,6,75000,0.45,11,1.106016,0.129566,-0.10738
4406,4,6,75000,0.45,12,1.035379,0.165472,-0.127605
4406,4,6,75000,0.45,13,1.013195,0.195932,-0.139794
4406,4,6,75000,0.45,14,1.009439,0.221719,-0.148183
4406,4,6,75000,0.45,15,1.009968,0.246427,-0.154421
4406,4,6,75000,0.45,16,1.015985,0.27114,-0.160098
4406,4,6,75000,0.45,17,1.023879,0.295548,-0.165039
4406,4,6,75000,0.45,18,1.032681,0.319868,-0.169538
4406,4,6,75000,0.45,19,1.04348,0.344966,-0.17418
