Airfoil,Mach,Re,N_points,Cl_MAE,Cl_RMSE,Cl_R2,Cd_MAE,Cd_RMSE,Cd_R2,Cm_MAE,Cm_RMSE,Cm_R2
3415,0.25,75000,41,0.013474,0.018792,0.999221,0.001955,0.003332,0.998543,0.001775,0.002734,0.99314
3415,0.25,125000,41,0.013096,0.019149,0.999248,0.002933,0.005986,0.99494,0.00194,0.002174,0.995587
3415,0.25,250000,41,0.012327,0.018653,0.999269,0.002939,0.00544,0.995753,0.002207,0.003848,0.986068
3415,0.25,500000,41,0.010202,0.013001,0.999614,0.001754,0.003507,0.99827,0.001009,0.001366,0.998195
3415,0.25,1000000,41,0.013827,0.017013,0.999297,0.002217,0.003784,0.998044,0.001305,0.002408,0.994441
3415,0.25,2000000,41,0.013891,0.015791,0.999382,0.002086,0.003206,0.998618,0.001099,0.001499,0.997838
3415,0.25,4000000,41,0.012989,0.016831,0.9993,0.001901,0.002899,0.998876,0.000956,0.001285,0.998407
3415,0.25,8000000,41,0.012737,0.016875,0.9993,0.001564,0.002549,0.999134,0.001041,0.001373,0.998182
3415,0.35,75000,41,0.00967,0.014388,0.999512,0.001771,0.002945,0.998933,0.001429,0.002685,0.993444
3415,0.35,125000,41,0.009751,0.017059,0.999372,0.002484,0.005048,0.996671,0.00157,0.002112,0.995928
3415,0.35,250000,41,0.011273,0.02193,0.998963,0.002662,0.005485,0.995913,0.001779,0.003342,0.989602
3415,0.35,500000,41,0.012608,0.016997,0.999316,0.002004,0.004117,0.997733,0.001274,0.00235,0.994773
3415,0.35,1000000,41,0.01409,0.016248,0.999333,0.001863,0.00337,0.998513,0.001085,0.001345,0.99825
3415,0.35,2000000,41,0.014917,0.016754,0.999272,0.001767,0.003192,0.998686,0.000948,0.001215,0.998566
3415,0.35,4000000,41,0.014871,0.017591,0.999198,0.001887,0.003144,0.998729,0.000924,0.001196,0.998602
3415,0.35,8000000,41,0.01568,0.018566,0.99911,0.001725,0.002717,0.999053,0.001167,0.001468,0.997893
3415,0.45,75000,41,0.013742,0.017227,0.999236,0.001335,0.001688,0.999679,0.001552,0.002128,0.996004
3415,0.45,125000,41,0.012025,0.017331,0.999295,0.002208,0.002951,0.998983,0.001964,0.002217,0.99574
3415,0.45,250000,41,0.01062,0.014516,0.999515,0.00217,0.003758,0.99827,0.001625,0.002098,0.996098
3415,0.45,500000,41,0.014056,0.023043,0.998655,0.002856,0.007725,0.992578,0.002507,0.006682,0.957826
3415,0.45,1000000,41,0.012598,0.015898,0.999319,0.00183,0.002868,0.999,0.001504,0.001824,0.996862
3415,0.45,2000000,41,0.012513,0.015364,0.999343,0.001677,0.002626,0.999172,0.001379,0.001692,0.997284
3415,0.45,4000000,41,0.012611,0.015801,0.999304,0.001527,0.002311,0.99936,0.00122,0.001502,0.997845
3415,0.45,8000000,41,0.012972,0.017401,0.99916,0.001307,0.001789,0.999617,0.001181,0.001538,0.997737
3415,0.55,75000,41,0.013402,0.01899,0.998937,0.001769,0.0023,0.999455,0.001658,0.002048,0.996494
3415,0.55,125000,41,0.014584,0.023157,0.998547,0.001956,0.002234,0.999485,0.002156,0.002466,0.995155
3415,0.55,250000,41,0.013511,0.018368,0.999108,0.001962,0.002286,0.999448,0.001732,0.00214,0.996317
3415,0.55,500000,41,0.011585,0.015897,0.999289,0.001722,0.002339,0.999405,0.001674,0.002108,0.996203
3415,0.55,1000000,41,0.013825,0.018681,0.998955,0.001491,0.001899,0.999606,0.001783,0.002247,0.995549
3415,0.55,2000000,41,0.011694,0.017131,0.999092,0.001187,0.001583,0.999728,0.001789,0.002198,0.995679
