Airfoil,Mach,Re,N_points,Cl_MAE,Cl_RMSE,Cl_R2,Cd_MAE,Cd_RMSE,Cd_R2,Cm_MAE,Cm_RMSE,Cm_R2
3415,0.25,75000,41,0.015444,0.021065,0.999021,0.003258,0.004066,0.997831,0.002601,0.003207,0.99056
3415,0.25,125000,41,0.014485,0.020636,0.999127,0.003488,0.005506,0.995718,0.002431,0.003167,0.990639
3415,0.25,250000,41,0.014214,0.03127,0.997946,0.003343,0.006678,0.9936,0.002685,0.005451,0.972045
3415,0.25,500000,41,0.015768,0.02728,0.998301,0.002404,0.004164,0.997562,0.002544,0.003906,0.985245
3415,0.25,1000000,41,0.015391,0.01962,0.999065,0.00253,0.003867,0.997958,0.002367,0.003232,0.989986
3415,0.25,2000000,41,0.015261,0.022381,0.998759,0.002872,0.004598,0.997159,0.002631,0.004229,0.9828
3415,0.25,4000000,41,0.019217,0.031797,0.997503,0.003455,0.006012,0.995166,0.002862,0.005028,0.975597
3415,0.25,8000000,41,0.017921,0.032965,0.997328,0.003767,0.00639,0.994554,0.003265,0.005459,0.971265
3415,0.35,75000,41,0.014487,0.022755,0.998781,0.003012,0.00458,0.997419,0.003799,0.004614,0.980635
3415,0.35,125000,41,0.019572,0.024959,0.998655,0.004015,0.007078,0.993453,0.003498,0.00447,0.981753
3415,0.35,250000,41,0.018027,0.030725,0.997964,0.00381,0.008458,0.990281,0.003864,0.005651,0.970268
3415,0.35,500000,41,0.019398,0.02686,0.998293,0.002995,0.006432,0.994468,0.003465,0.004761,0.978544
3415,0.35,1000000,41,0.019407,0.023175,0.998642,0.0029,0.005444,0.996119,0.003044,0.003799,0.986029
3415,0.35,2000000,41,0.017611,0.023355,0.998585,0.00268,0.004719,0.997127,0.003034,0.003752,0.986321
3415,0.35,4000000,41,0.018336,0.025543,0.998308,0.002935,0.004831,0.996999,0.003261,0.003984,0.984493
3415,0.35,8000000,41,0.01935,0.027861,0.997997,0.003931,0.006602,0.994406,0.004038,0.004952,0.976027
3415,0.45,75000,41,0.011286,0.014146,0.999485,0.002965,0.003584,0.998552,0.004676,0.005223,0.975931
3415,0.45,125000,41,0.018104,0.023063,0.998752,0.003891,0.006212,0.995495,0.004599,0.005105,0.97741
3415,0.45,250000,41,0.017959,0.023144,0.998768,0.004391,0.007003,0.993992,0.004763,0.005341,0.974706
3415,0.45,500000,41,0.018268,0.025872,0.998304,0.004315,0.00842,0.991182,0.005149,0.007991,0.939685
3415,0.45,1000000,41,0.015929,0.01808,0.999119,0.00302,0.004675,0.997343,0.00377,0.004259,0.982889
3415,0.45,2000000,41,0.01284,0.014507,0.999414,0.002686,0.004121,0.997961,0.003659,0.004265,0.98274
3415,0.45,4000000,41,0.014094,0.016043,0.999282,0.002582,0.003797,0.998273,0.003733,0.004285,0.982456
3415,0.45,8000000,41,0.018371,0.020489,0.998835,0.003308,0.004852,0.997184,0.004209,0.004692,0.978925
3415,0.55,75000,41,0.012972,0.01641,0.999206,0.003067,0.003685,0.9986,0.004784,0.005334,0.976218
3415,0.55,125000,41,0.018147,0.023948,0.998446,0.002776,0.003341,0.998847,0.004453,0.004913,0.980773
3415,0.55,250000,41,0.018803,0.025221,0.998318,0.003259,0.003988,0.998322,0.004955,0.005327,0.977182
