hidden,depth,width,train_time_s,Cl_r2,Cl_mae,Cl_mse,Cl_rmse,Cd_r2,Cd_mae,Cd_mse,Cd_rmse,Cm_r2,Cm_mae,Cm_mse,Cm_rmse
"(50, 50)",2,50,63.29,0.987298,0.052402,0.00458147,0.067687,0.989907,0.010935,0.00019963,0.014129,0.966875,0.011443,0.00020999,0.014491
"(100, 100)",2,100,98.57,0.993467,0.037839,0.00235621,0.048541,0.995878,0.006999,8.153e-05,0.00903,0.979411,0.007837,0.00013052,0.011424
"(200, 200)",2,200,195.1,0.995742,0.029533,0.00153581,0.039189,0.997363,0.005101,5.216e-05,0.007222,0.990841,0.005209,5.806e-05,0.00762
"(400, 400)",2,400,739.7,0.997883,0.019947,0.00076356,0.027633,0.998443,0.004142,3.08e-05,0.00555,0.994707,0.003701,3.355e-05,0.005792
"(50, 50, 50)",3,50,61.08,0.98312,0.060524,0.00608847,0.078029,0.976333,0.017127,0.0004681,0.021636,0.963132,0.011074,0.00023372,0.015288
"(100, 100, 100)",3,100,102.99,0.99648,0.027086,0.00126948,0.03563,0.996038,0.006431,7.836e-05,0.008852,0.990169,0.005511,6.232e-05,0.007894
"(200, 200, 200)",3,200,612.19,0.997422,0.022259,0.00092998,0.030496,0.998422,0.004117,3.121e-05,0.005587,0.995809,0.00352,2.657e-05,0.005154
"(400, 400, 400)",3,400,853.22,0.998858,0.014469,0.00041206,0.020299,0.998158,0.004336,3.642e-05,0.006035,0.996399,0.003155,2.283e-05,0.004778
"(100, 100, 100, 100)",4,100,224.11,0.996433,0.027061,0.00128644,0.035867,0.995843,0.00661,8.221e-05,0.009067,0.993041,0.004551,4.412e-05,0.006642
"(200, 200, 200, 200)",4,200,728.41,0.997958,0.019516,0.0007366,0.02714,0.998293,0.00403,3.375e-05,0.00581,0.995962,0.003478,2.56e-05,0.00506
"(400, 400, 400, 400)",4,400,1038.3,0.998812,0.015103,0.00042851,0.0207,0.998611,0.003605,2.747e-05,0.005241,0.996804,0.00299,2.026e-05,0.004501
"(100, 200, 100)",3,200,678.04,0.997409,0.023182,0.00093461,0.030571,0.996114,0.006765,7.686e-05,0.008767,0.992503,0.004865,4.753e-05,0.006894
"(200, 400, 200)",3,400,390.26,0.998547,0.016896,0.00052394,0.02289,0.997767,0.004739,4.416e-05,0.006645,0.995904,0.003578,2.597e-05,0.005096
"(50, 100, 200, 100, 50)",5,200,925.3,0.994807,0.033254,0.00187288,0.043277,0.993413,0.008601,0.00013028,0.011414,0.989532,0.005626,6.636e-05,0.008146
