iteration,cd
0.000000000000000000e+00,-1.488050622661218902e-02
1.000000000000000000e+00,-1.465328080138103561e-02
2.000000000000000000e+00,-1.444704042846078895e-02
3.000000000000000000e+00,-1.334481379576069049e-02
4.000000000000000000e+00,-1.287109695255486685e-02
5.000000000000000000e+00,-1.250709928084020595e-02
6.000000000000000000e+00,-1.118757917016469094e-02
7.000000000000000000e+00,-1.019612964831970170e-02
8.000000000000000000e+00,-8.504528004961653398e-03
9.000000000000000000e+00,-7.199372772242473850e-03
1.000000000000000000e+01,-5.428741089494509842e-03
1.100000000000000000e+01,-3.917934424133379112e-03
1.200000000000000000e+01,-2.696759843109519661e-03
1.300000000000000000e+01,-2.510223721459842183e-03
1.400000000000000000e+01,-2.960551827345614395e-03
1.500000000000000000e+01,-3.744144368735463635e-03
1.600000000000000000e+01,-4.693137385845536080e-03
1.700000000000000000e+01,-5.399807575301313056e-03
1.800000000000000000e+01,-5.734162490726557593e-03
1.900000000000000000e+01,-6.128193980572987920e-03
2.000000000000000000e+01,-5.648198077764537972e-03
2.100000000000000000e+01,-4.594802755083754464e-03
2.200000000000000000e+01,-3.452668604026237764e-03
2.300000000000000000e+01,-2.331802143483885370e-03
2.400000000000000000e+01,-1.234115485234471565e-03
2.500000000000000000e+01,-4.974514034555010955e-04
3.400000000000000000e+01,-6.544393006005511104e-05
3.500000000000000000e+01,-2.575026729557949867e-04
3.600000000000000000e+01,-2.782179048455846182e-04
3.700000000000000000e+01,-2.538740634717984168e-04
3.800000000000000000e+01,-1.560324943861435276e-04
3.900000000000000000e+01,-2.160496123250477130e-04
6.700000000000000000e+01,-1.807813604803309993e-04
6.800000000000000000e+01,-7.325036151196451240e-04
6.900000000000000000e+01,-9.692231696466213631e-04
7.000000000000000000e+01,-1.213346710206231194e-03
7.100000000000000000e+01,-1.571238740450259241e-03
7.200000000000000000e+01,-1.516694273686836070e-03
7.300000000000000000e+01,-1.334226456248893689e-03
7.400000000000000000e+01,-8.063654345968063186e-04
7.500000000000000000e+01,-3.873433466771991629e-04
7.600000000000000000e+01,-1.178067504109259200e-04
9.600000000000000000e+01,-5.128289894988924402e-04
9.700000000000000000e+01,-1.254477592866620750e-03
9.800000000000000000e+01,-1.906289939970357006e-03
9.900000000000000000e+01,-2.404764439221412919e-03
1.000000000000000000e+02,-2.653795321443913613e-03
1.010000000000000000e+02,-2.822457211234252750e-03
1.020000000000000000e+02,-3.072745891272987695e-03
1.030000000000000000e+02,-3.179568077466499165e-03
1.040000000000000000e+02,-2.961418332522475216e-03
1.050000000000000000e+02,-2.663583266025920659e-03
1.060000000000000000e+02,-2.349046502062857034e-03
1.070000000000000000e+02,-1.814282692091218063e-03
1.080000000000000000e+02,-1.034508854268867406e-03
1.090000000000000000e+02,-4.537333025028678080e-04
1.310000000000000000e+02,-5.606992926928400234e-04
1.320000000000000000e+02,-1.404809048957067485e-03
1.330000000000000000e+02,-2.160256989952841211e-03
1.340000000000000000e+02,-2.376622471703282446e-03
1.350000000000000000e+02,-2.561300887792550274e-03
1.360000000000000000e+02,-2.695019414424515425e-03
1.370000000000000000e+02,-2.861808907688029313e-03
1.380000000000000000e+02,-3.030548060730553495e-03
1.390000000000000000e+02,-3.198640380592587817e-03
1.400000000000000000e+02,-3.187059670809122558e-03
1.410000000000000000e+02,-3.226972229843083628e-03
1.420000000000000000e+02,-3.270004683551069879e-03
1.430000000000000000e+02,-3.338718228553971823e-03
1.440000000000000000e+02,-3.417411089475186348e-03
1.450000000000000000e+02,-3.469710374802315034e-03
1.460000000000000000e+02,-3.386889968416656460e-03
1.470000000000000000e+02,-3.161497061253681906e-03
1.480000000000000000e+02,-3.011532296609414905e-03
1.490000000000000000e+02,-2.783657075585754814e-03
1.500000000000000000e+02,-2.497535696787955839e-03
1.510000000000000000e+02,-2.158524483614365774e-03
1.520000000000000000e+02,-1.823916478115306106e-03
1.530000000000000000e+02,-1.554866561093493083e-03
1.540000000000000000e+02,-1.254245857491065319e-03
1.550000000000000000e+02,-1.023672186631047198e-03
1.560000000000000000e+02,-6.835715644941398050e-04
1.570000000000000000e+02,-5.636422468268398323e-04
1.580000000000000000e+02,-3.577741471167128484e-04
1.590000000000000000e+02,-2.676053184276772079e-04
1.600000000000000000e+02,-1.930227193080169545e-04
1.610000000000000000e+02,-3.151102691902607500e-04
1.620000000000000000e+02,-1.871663381425858752e-04
1.630000000000000000e+02,-1.051765359247891496e-04
1.640000000000000000e+02,-3.614914432270577294e-05
1.650000000000000000e+02,-1.224065296852039353e-04
1.660000000000000000e+02,-3.316874550553239320e-04
1.670000000000000000e+02,-4.262950283661359752e-04
1.680000000000000000e+02,-5.409011677326158729e-04
1.690000000000000000e+02,-6.020707813866876812e-04
1.700000000000000000e+02,-7.205585247235246626e-04
1.710000000000000000e+02,-7.456859700436802019e-04
1.720000000000000000e+02,-7.940837297048253252e-04
1.730000000000000000e+02,-9.739209053895581114e-04
1.740000000000000000e+02,-1.159240361485236459e-03
1.750000000000000000e+02,-1.474408613064970286e-03
1.760000000000000000e+02,-1.790057812890516464e-03
1.770000000000000000e+02,-1.893763253240005051e-03
1.780000000000000000e+02,-1.808517248628821461e-03
1.790000000000000000e+02,-1.785993452298823003e-03
1.800000000000000000e+02,-1.873761322015082831e-03
1.810000000000000000e+02,-2.123435140360729889e-03
1.820000000000000000e+02,-2.368263103595280583e-03
1.830000000000000000e+02,-2.619257567621352534e-03
1.840000000000000000e+02,-2.781826601577219726e-03
1.850000000000000000e+02,-3.004527505632098583e-03
1.860000000000000000e+02,-3.274477108687390281e-03
1.870000000000000000e+02,-3.418680372460736194e-03
1.880000000000000000e+02,-3.644608277801664187e-03
1.890000000000000000e+02,-3.811596420615875891e-03
1.900000000000000000e+02,-4.023682868897815457e-03
1.910000000000000000e+02,-4.160473006930426321e-03
1.920000000000000000e+02,-4.229047848249040120e-03
1.930000000000000000e+02,-4.193930399236212025e-03
1.940000000000000000e+02,-4.216971487630033488e-03
1.950000000000000000e+02,-4.114477255109105780e-03
1.960000000000000000e+02,-3.745761713628975587e-03
1.970000000000000000e+02,-3.362038617062051982e-03
1.980000000000000000e+02,-2.956275050828599538e-03
1.990000000000000000e+02,-2.600839979468250185e-03
2.000000000000000000e+02,-2.279846323827355858e-03
2.010000000000000000e+02,-1.890250320994324440e-03
2.020000000000000000e+02,-1.627806914808266336e-03
2.030000000000000000e+02,-1.174249487618045373e-03
2.040000000000000000e+02,-8.637231691372704301e-04
2.050000000000000000e+02,-7.980563010282215597e-04
2.060000000000000000e+02,-6.594280491327153548e-04
2.070000000000000000e+02,-7.262272168736816358e-04
2.080000000000000000e+02,-9.536343088030196924e-04
2.090000000000000000e+02,-1.367265388534349979e-03
2.100000000000000000e+02,-1.722306719881244730e-03
2.110000000000000000e+02,-2.126498676951277256e-03
2.120000000000000000e+02,-2.349379045403443556e-03
2.130000000000000000e+02,-2.689976416539008319e-03
2.140000000000000000e+02,-2.804706224200009812e-03
2.150000000000000000e+02,-2.769763990676438192e-03
