NACA,A_upper_0,A_lower_0,A_upper_1,A_lower_1,A_upper_2,A_lower_2,A_upper_3,A_lower_3,A_upper_4,A_lower_4,A_upper_5,A_lower_5,A_upper_6,A_lower_6
6,0.08681592,-0.08681592,0.07283397,-0.07283397,0.09565142,-0.09565142,0.04443342,-0.04443342,0.1069608,-0.1069608,0.03994527,-0.03994527,0.09779826,-0.09779826
12,0.17363183,-0.17363183,0.14566793,-0.14566793,0.19130284,-0.19130284,0.08886684,-0.08886684,0.21392161,-0.21392161,0.07989055,-0.07989055,0.19559651,-0.19559651
18,0.26044775,-0.26044775,0.2185019,-0.2185019,0.28695426,-0.28695426,0.13330026,-0.13330026,0.32088241,-0.32088241,0.11983582,-0.11983582,0.29339477,-0.29339477
24,0.34726367,-0.34726367,0.29133587,-0.29133587,0.38260568,-0.38260568,0.17773368,-0.17773368,0.42784321,-0.42784321,0.1597811,-0.1597811,0.39119303,-0.39119303
2406,0.09947472,-0.07513412,0.12526052,-0.02012702,0.14764311,-0.04405909,0.10187551,0.01380648,0.16091208,-0.05384099,0.10702622,0.02753508,0.16352282,-0.03264422
2412,0.19740755,-0.1525605,0.17929012,-0.10913313,0.2719161,-0.11566382,0.11362175,-0.05764407,0.29396585,-0.13937779,0.13382405,-0.02313968,0.26719497,-0.12581691
2418,0.3026826,-0.22401749,0.22001543,-0.20712364,0.41663042,-0.17446684,0.10215937,-0.14342607,0.44542031,-0.21347981,0.15133004,-0.07945209,0.37481647,-0.21626696
2424,0.41535674,-0.28994282,0.24717976,-0.31277073,0.58219888,-0.2228101,0.06708167,-0.2408041,0.61553922,-0.27830771,0.15942651,-0.14026377,0.48642747,-0.30437528
3415,0.26617626,-0.17663654,0.21019132,-0.14216344,0.39415176,-0.10444174,0.10914284,-0.08754916,0.4186658,-0.13725782,0.1650715,-0.02379402,0.35913137,-0.13595757
3418,0.32514664,-0.20821425,0.21934693,-0.19721151,0.48375733,-0.12560921,0.08377484,-0.13944736,0.50996802,-0.16716454,0.16597729,-0.05541327,0.41638639,-0.17948149
4406,0.11305942,-0.0644228,0.17749132,0.03282566,0.19988147,0.00718038,0.15871459,0.07280232,0.21552916,-0.00152429,0.17379892,0.09539822,0.22978359,0.03194718
4412,0.22330011,-0.13430513,0.21150096,-0.06950905,0.35475397,-0.04534786,0.13528348,-0.01948366,0.37673398,-0.0707403,0.18643889,0.03664305,0.3401021,-0.05792259
4415,0.28395801,-0.16528131,0.21829422,-0.12589524,0.44787733,-0.06468501,0.10584979,-0.07325283,0.47130564,-0.09923746,0.185728,0.00433484,0.39824504,-0.10125081
4418,0.34826554,-0.19386674,0.2183328,-0.18500778,0.55133703,-0.08071026,0.06480157,-0.13059665,0.57499319,-0.12484497,0.18044676,-0.02930522,0.45834082,-0.1437165
4421,0.4161607,-0.22023233,0.21173863,-0.24634504,0.66490091,-0.09428064,0.01244755,-0.19053456,0.68752653,-0.14832708,0.17074324,-0.06387717,0.52034478,-0.18545406
4424,0.48756202,-0.24453602,0.19868801,-0.30945007,0.78823839,-0.106166,-0.05078123,-0.25219398,0.80852948,-0.17035958,0.1568293,-0.09902848,0.58418639,-0.22658211
