Airfoil,Mach,Re,N_points,Cl_MAE,Cl_RMSE,Cd_MAE,Cd_RMSE,Cm_MAE,Cm_RMSE
3415,0.25,75000,41,0.022739,0.030398,0.003337,0.005879,0.002553,0.004077
3415,0.25,125000,41,0.021939,0.032126,0.005307,0.008997,0.002444,0.003228
3415,0.25,250000,41,0.0281,0.03605,0.00527,0.007887,0.003293,0.005027
3415,0.25,500000,41,0.029221,0.037236,0.005397,0.007373,0.003243,0.004086
3415,0.25,1000000,41,0.026907,0.034829,0.005353,0.007594,0.00385,0.004921
3415,0.25,2000000,41,0.027876,0.037083,0.005276,0.007111,0.004125,0.005194
3415,0.25,4000000,41,0.027361,0.038393,0.005358,0.007549,0.00403,0.005323
3415,0.25,8000000,41,0.024619,0.036054,0.005232,0.008084,0.003745,0.005481
3415,0.35,75000,41,0.023437,0.031103,0.004031,0.006318,0.002417,0.004519
3415,0.35,125000,41,0.026936,0.034629,0.005378,0.008351,0.001885,0.002515
3415,0.35,250000,41,0.027343,0.036747,0.004475,0.006659,0.002466,0.003816
3415,0.35,500000,41,0.028884,0.036901,0.004613,0.005705,0.00264,0.003551
3415,0.35,1000000,41,0.024759,0.030205,0.004679,0.005681,0.002464,0.003112
3415,0.35,2000000,41,0.02868,0.035351,0.004607,0.005375,0.002651,0.003235
3415,0.35,4000000,41,0.028179,0.034936,0.00485,0.005814,0.002748,0.003296
3415,0.35,8000000,41,0.02361,0.031128,0.00499,0.006726,0.003168,0.003789
3415,0.45,75000,41,0.022029,0.030907,0.004285,0.0059,0.003594,0.005242
3415,0.45,125000,41,0.027895,0.035084,0.005312,0.007383,0.002407,0.003526
3415,0.45,250000,41,0.023323,0.033641,0.00424,0.00559,0.001883,0.002354
3415,0.45,500000,41,0.026852,0.037044,0.005234,0.009143,0.003227,0.007082
3415,0.45,1000000,41,0.025991,0.035054,0.004287,0.005355,0.002495,0.003583
3415,0.45,2000000,41,0.029882,0.039142,0.004759,0.005675,0.002885,0.00374
3415,0.45,4000000,41,0.026918,0.03617,0.004453,0.00541,0.002759,0.003453
3415,0.45,8000000,41,0.026096,0.034668,0.00478,0.005352,0.002661,0.003229
3415,0.55,75000,41,0.020686,0.031524,0.005639,0.006463,0.004689,0.005441
3415,0.55,125000,41,0.01948,0.030071,0.004458,0.00521,0.003148,0.003506
3415,0.55,250000,41,0.022857,0.032688,0.004892,0.005732,0.002915,0.003339
3415,0.55,500000,41,0.028631,0.038924,0.00409,0.004969,0.002604,0.00328
3415,0.55,1000000,41,0.027665,0.039209,0.004895,0.005704,0.00294,0.003547
3415,0.55,2000000,41,0.030617,0.042953,0.005419,0.006296,0.003545,0.00415
3415,0.55,4000000,41,0.027056,0.039636,0.005,0.005826,0.003418,0.004063
3415,0.55,8000000,41,0.026972,0.038279,0.004451,0.005363,0.003075,0.003714
3415,0.65,75000,41,0.031619,0.045223,0.005544,0.006932,0.00522,0.005694
3415,0.65,125000,41,0.033903,0.049133,0.005782,0.007631,0.004527,0.005243
3415,0.65,250000,41,0.035766,0.051627,0.006997,0.009328,0.004695,0.005576
3415,0.65,500000,41,0.033073,0.045131,0.006278,0.008099,0.00437,0.005088
3415,0.65,1000000,41,0.031264,0.041986,0.006418,0.008309,0.004082,0.004843
3415,0.65,2000000,41,0.031944,0.042715,0.006663,0.008452,0.004186,0.004978
3415,0.65,4000000,41,0.030045,0.039777,0.006292,0.008219,0.004039,0.005028
3415,0.65,8000000,41,0.030151,0.040302,0.005656,0.007908,0.003377,0.004612
3415,0.7,75000,41,0.018828,0.024802,0.004674,0.005883,0.002657,0.003391
3415,0.7,125000,41,0.021177,0.027612,0.005339,0.006594,0.002718,0.003532
3415,0.7,250000,41,0.022691,0.030473,0.006477,0.007928,0.002931,0.004027
3415,0.7,500000,41,0.02093,0.025652,0.005608,0.007029,0.003082,0.004008
3415,0.7,1000000,41,0.019796,0.023437,0.005784,0.007195,0.003045,0.00398
3415,0.7,2000000,41,0.02139,0.024555,0.006174,0.007506,0.003022,0.004012
3415,0.7,4000000,41,0.020711,0.023141,0.006116,0.007603,0.003101,0.004178
3415,0.7,8000000,41,0.023699,0.026699,0.00531,0.00719,0.003337,0.004396
3415,0.75,75000,41,0.01455,0.0171,0.004736,0.005587,0.003589,0.004658
3415,0.75,125000,41,0.013987,0.016934,0.004442,0.005293,0.004068,0.005076
3415,0.75,250000,41,0.018239,0.021185,0.004627,0.005456,0.00396,0.004817
3415,0.75,500000,41,0.020516,0.02379,0.004167,0.00496,0.003883,0.004742
3415,0.75,1000000,41,0.019481,0.022463,0.00431,0.004898,0.003819,0.004934
3415,0.75,2000000,41,0.020429,0.023627,0.004846,0.00527,0.003946,0.004892
3415,0.75,4000000,41,0.020926,0.02389,0.004927,0.005644,0.003751,0.004685
3415,0.75,8000000,41,0.024361,0.026988,0.00375,0.00505,0.004207,0.00521
3415,0.8,75000,41,0.019728,0.028147,0.00486,0.005693,0.003969,0.005248
3415,0.8,125000,41,0.018967,0.024839,0.004116,0.004888,0.005028,0.005987
3415,0.8,250000,41,0.021468,0.028272,0.004005,0.004737,0.00496,0.006336
3415,0.8,500000,41,0.021247,0.030479,0.003634,0.004308,0.004954,0.006546
3415,0.8,1000000,41,0.01949,0.029038,0.003508,0.004255,0.004614,0.005867
3415,0.8,2000000,41,0.019351,0.028485,0.003758,0.00441,0.004677,0.005904
3415,0.8,4000000,41,0.019283,0.027322,0.004499,0.005175,0.004788,0.005872
3415,0.8,8000000,41,0.022879,0.030909,0.004814,0.005637,0.005029,0.005937
3415,0.85,75000,41,0.021869,0.033362,0.003473,0.004446,0.007074,0.011475
3415,0.85,125000,41,0.024637,0.032314,0.003125,0.004012,0.008839,0.01211
3415,0.85,250000,41,0.02509,0.034269,0.003079,0.00389,0.008998,0.013023
3415,0.85,500000,41,0.02314,0.035566,0.003121,0.003917,0.007489,0.011712
3415,0.85,1000000,41,0.020784,0.030785,0.004043,0.005264,0.006816,0.010312
3415,0.85,2000000,41,0.020982,0.030415,0.003695,0.004764,0.006886,0.010095
3415,0.85,4000000,41,0.020193,0.030416,0.003547,0.004732,0.007337,0.010214
