Airfoil,Mach,Re,N_points,Cl_MAE,Cl_RMSE,Cd_MAE,Cd_RMSE,Cm_MAE,Cm_RMSE
3415,0.25,75000,41,0.024789,0.031942,0.003915,0.005512,0.002947,0.004015
3415,0.25,125000,41,0.019278,0.022588,0.00277,0.004052,0.001625,0.002288
3415,0.25,250000,41,0.02441,0.032651,0.004193,0.006588,0.00283,0.004813
3415,0.25,500000,41,0.018365,0.022587,0.002884,0.00473,0.002243,0.002872
3415,0.25,1000000,41,0.018381,0.024791,0.002828,0.004849,0.002397,0.003287
3415,0.25,2000000,41,0.015022,0.019029,0.002241,0.003698,0.001842,0.002819
3415,0.25,4000000,41,0.014719,0.020837,0.002378,0.004158,0.001938,0.003013
3415,0.25,8000000,41,0.017652,0.027981,0.003076,0.005219,0.00208,0.0037
3415,0.35,75000,41,0.020521,0.028715,0.002324,0.005045,0.002962,0.00445
3415,0.35,125000,41,0.017721,0.020753,0.002604,0.004026,0.001576,0.002267
3415,0.35,250000,41,0.021871,0.02754,0.003016,0.004063,0.002519,0.003789
3415,0.35,500000,41,0.019706,0.02397,0.002011,0.003197,0.002376,0.003286
3415,0.35,1000000,41,0.019077,0.022703,0.002348,0.003655,0.002201,0.002831
3415,0.35,2000000,41,0.015781,0.018968,0.001941,0.002918,0.001436,0.001965
3415,0.35,4000000,41,0.017774,0.021313,0.001531,0.002361,0.001474,0.002119
3415,0.35,8000000,41,0.017247,0.022241,0.002158,0.003429,0.00164,0.002468
3415,0.45,75000,41,0.017295,0.023025,0.002343,0.003972,0.002927,0.004198
3415,0.45,125000,41,0.022739,0.026757,0.002958,0.004383,0.002569,0.003504
3415,0.45,250000,41,0.011955,0.015622,0.002563,0.003079,0.002598,0.003135
3415,0.45,500000,41,0.017676,0.026084,0.003093,0.008454,0.003361,0.007446
3415,0.45,1000000,41,0.015625,0.018588,0.001829,0.003143,0.002758,0.00368
3415,0.45,2000000,41,0.014345,0.016785,0.002172,0.003327,0.002465,0.003305
3415,0.45,4000000,41,0.014617,0.018077,0.001887,0.002752,0.00224,0.002844
3415,0.45,8000000,41,0.01236,0.016619,0.002163,0.002938,0.001724,0.002195
3415,0.55,75000,41,0.013427,0.017669,0.002672,0.004103,0.002015,0.002536
3415,0.55,125000,41,0.020087,0.027925,0.002281,0.003157,0.001889,0.002462
3415,0.55,250000,41,0.014252,0.01968,0.0027,0.003731,0.002474,0.003085
3415,0.55,500000,41,0.010256,0.012804,0.002117,0.002869,0.002244,0.002737
3415,0.55,1000000,41,0.018156,0.022743,0.002109,0.002861,0.002465,0.003058
3415,0.55,2000000,41,0.014143,0.016929,0.002165,0.003161,0.002584,0.003323
3415,0.55,4000000,41,0.013999,0.018384,0.00179,0.002505,0.002521,0.003173
3415,0.55,8000000,41,0.011708,0.015975,0.002322,0.002932,0.002227,0.002802
3415,0.65,75000,41,0.015011,0.018144,0.002644,0.003068,0.001471,0.001944
3415,0.65,125000,41,0.012322,0.014345,0.002361,0.002717,0.001387,0.001977
3415,0.65,250000,41,0.011044,0.014439,0.00233,0.002972,0.001061,0.001529
3415,0.65,500000,41,0.012248,0.01543,0.001793,0.002161,0.00115,0.001487
3415,0.65,1000000,41,0.011571,0.014831,0.001718,0.002035,0.001216,0.001551
3415,0.65,2000000,41,0.010378,0.012603,0.002377,0.002902,0.001218,0.001497
3415,0.65,4000000,41,0.010152,0.012725,0.002053,0.00251,0.001197,0.001518
3415,0.65,8000000,41,0.012808,0.015936,0.002022,0.002352,0.001408,0.001718
3415,0.7,75000,41,0.010628,0.013934,0.002636,0.003195,0.001825,0.002189
3415,0.7,125000,41,0.011142,0.014779,0.002544,0.003123,0.001877,0.002237
3415,0.7,250000,41,0.012597,0.018125,0.002604,0.003062,0.001549,0.001815
3415,0.7,500000,41,0.012613,0.018131,0.002051,0.002535,0.00161,0.001941
3415,0.7,1000000,41,0.010608,0.01428,0.002044,0.002504,0.00196,0.002218
3415,0.7,2000000,41,0.011479,0.015196,0.002576,0.003067,0.00196,0.002222
3415,0.7,4000000,41,0.011018,0.013793,0.002327,0.002865,0.001976,0.002338
3415,0.7,8000000,41,0.013889,0.018505,0.002304,0.002972,0.001721,0.002035
3415,0.75,75000,41,0.013541,0.015437,0.003881,0.004519,0.002331,0.002673
3415,0.75,125000,41,0.015185,0.01771,0.003528,0.004249,0.002324,0.00269
3415,0.75,250000,41,0.011486,0.014149,0.00338,0.00409,0.001688,0.002175
3415,0.75,500000,41,0.009816,0.012626,0.003125,0.003642,0.002307,0.002712
3415,0.75,1000000,41,0.010151,0.01332,0.002824,0.003377,0.0028,0.003121
3415,0.75,2000000,41,0.01055,0.013666,0.003167,0.00366,0.002968,0.003285
3415,0.75,4000000,41,0.010582,0.014048,0.002568,0.002908,0.003114,0.003587
3415,0.75,8000000,41,0.014434,0.019695,0.002824,0.003857,0.002744,0.00332
3415,0.8,75000,41,0.015251,0.018723,0.004298,0.004765,0.004502,0.00541
3415,0.8,125000,41,0.019,0.022954,0.004163,0.004763,0.003947,0.0054
3415,0.8,250000,41,0.015247,0.019825,0.004652,0.005227,0.003416,0.004796
3415,0.8,500000,41,0.01297,0.016112,0.004132,0.004767,0.002811,0.003495
3415,0.8,1000000,41,0.015136,0.018875,0.003252,0.003901,0.003051,0.003528
3415,0.8,2000000,41,0.015336,0.019036,0.003362,0.003899,0.002691,0.003197
3415,0.8,4000000,41,0.014901,0.018991,0.002281,0.003004,0.002418,0.003018
3415,0.8,8000000,41,0.01532,0.018963,0.00296,0.003844,0.002212,0.002609
3415,0.85,75000,41,0.015514,0.018378,0.003128,0.003618,0.003579,0.005765
3415,0.85,125000,41,0.01622,0.021395,0.003591,0.004035,0.004048,0.005111
3415,0.85,250000,41,0.015268,0.019186,0.004638,0.00526,0.00479,0.006232
3415,0.85,500000,41,0.013825,0.017292,0.004539,0.005155,0.004012,0.005104
3415,0.85,1000000,41,0.012819,0.016154,0.0036,0.004149,0.003017,0.003734
3415,0.85,2000000,41,0.013498,0.01668,0.003851,0.004658,0.0032,0.0041
