Airfoil,Mach,Re,N_points,Cl_MAE,Cl_MSE,Cl_RMSE,Cd_MAE,Cd_MSE,Cd_RMSE,Cm_MAE,Cm_MSE,Cm_RMSE
3415,0.25,75000,41,0.020173,0.000747,0.027333,0.004368,4.1e-05,0.006422,0.003824,2.3e-05,0.004762
3415,0.25,125000,41,0.025002,0.001269,0.035617,0.00609,0.000114,0.010667,0.004312,3.1e-05,0.005528
3415,0.25,250000,41,0.022585,0.001475,0.038407,0.006188,0.000103,0.010161,0.00458,4.7e-05,0.006833
3415,0.25,500000,41,0.022439,0.000948,0.030794,0.005012,6.3e-05,0.007943,0.003988,2.9e-05,0.005357
3415,0.25,1000000,41,0.017487,0.000638,0.025265,0.005599,6.7e-05,0.008182,0.004054,3.4e-05,0.005799
3415,0.25,2000000,41,0.019925,0.000806,0.028388,0.005574,6e-05,0.007757,0.004016,3.3e-05,0.005712
3415,0.25,4000000,41,0.020667,0.001127,0.033565,0.005205,5.9e-05,0.007688,0.004007,3.3e-05,0.005779
3415,0.25,8000000,41,0.018414,0.00106,0.032554,0.005361,5.3e-05,0.007252,0.003904,3.1e-05,0.005563
3415,0.35,75000,41,0.021318,0.000819,0.028627,0.003531,3.1e-05,0.005576,0.003907,2.5e-05,0.005036
3415,0.35,125000,41,0.020332,0.000832,0.028853,0.005372,7.9e-05,0.008889,0.004113,2.2e-05,0.004651
3415,0.35,250000,41,0.029695,0.002036,0.045124,0.005411,7.7e-05,0.008759,0.004053,2.9e-05,0.005358
3415,0.35,500000,41,0.028949,0.001668,0.040845,0.003659,3.5e-05,0.005938,0.003641,2.5e-05,0.004962
3415,0.35,1000000,41,0.024138,0.001019,0.031924,0.003464,2.7e-05,0.005168,0.003412,1.8e-05,0.004201
3415,0.35,2000000,41,0.02656,0.001177,0.034314,0.003937,2.9e-05,0.005356,0.003249,1.7e-05,0.004081
3415,0.35,4000000,41,0.023652,0.001038,0.032225,0.003966,3.3e-05,0.005705,0.003304,1.8e-05,0.004187
3415,0.35,8000000,41,0.023179,0.001106,0.033258,0.004618,3.3e-05,0.005782,0.003823,2.3e-05,0.004787
3415,0.45,75000,41,0.024677,0.000943,0.03071,0.003594,2.2e-05,0.004661,0.002999,1.6e-05,0.003993
3415,0.45,125000,41,0.022186,0.000824,0.028713,0.005299,6.4e-05,0.008017,0.003128,1.4e-05,0.003782
3415,0.45,250000,41,0.026354,0.001088,0.032992,0.005104,6.2e-05,0.007878,0.002978,1.3e-05,0.003658
3415,0.45,500000,41,0.031793,0.001399,0.037409,0.004501,6.3e-05,0.007927,0.003295,4.4e-05,0.006662
