Airfoil,Mach,Re,N_points,Cd_MAE,Cd_MSE,Cd_RMSE,Cd_R2
3415,0.25,75000,41,0.003054,2.172e-05,0.004661,0.99715
3415,0.25,125000,41,0.005769,7.59e-05,0.008712,0.989281
3415,0.25,250000,41,0.00579,9.163e-05,0.009573,0.986848
3415,0.25,500000,41,0.004435,4.995e-05,0.007067,0.992976
3415,0.25,1000000,41,0.00419,4.337e-05,0.006585,0.994077
3415,0.25,2000000,41,0.004525,4.824e-05,0.006946,0.993516
3415,0.25,4000000,41,0.004837,5.663e-05,0.007525,0.992427
3415,0.25,8000000,41,0.004608,5.961e-05,0.007721,0.99205
3415,0.35,75000,41,0.003149,1.762e-05,0.004197,0.997833
3415,0.35,125000,41,0.00562,5.631e-05,0.007504,0.992642
3415,0.35,250000,41,0.005686,6.973e-05,0.008351,0.990527
3415,0.35,500000,41,0.004453,4.417e-05,0.006646,0.994092
3415,0.35,1000000,41,0.003398,2.132e-05,0.004617,0.997208
3415,0.35,2000000,41,0.003487,1.889e-05,0.004346,0.997564
3415,0.35,4000000,41,0.00369,1.998e-05,0.004469,0.997431
3415,0.35,8000000,41,0.003915,2.571e-05,0.005071,0.9967
3415,0.45,75000,41,0.004482,2.791e-05,0.005283,0.996853
3415,0.45,125000,41,0.004646,3.206e-05,0.005662,0.996257
3415,0.45,250000,41,0.005371,4.515e-05,0.006719,0.994469
3415,0.45,500000,41,0.005393,6.474e-05,0.008046,0.991947
3415,0.45,1000000,41,0.003514,1.795e-05,0.004237,0.997817
3415,0.45,2000000,41,0.00357,1.738e-05,0.004168,0.997914
3415,0.45,4000000,41,0.003721,1.819e-05,0.004264,0.997822
3415,0.45,8000000,41,0.003657,1.769e-05,0.004206,0.997884
3415,0.55,75000,41,0.00452,2.81e-05,0.005301,0.997104
3415,0.55,125000,41,0.003719,2.138e-05,0.004624,0.997792
3415,0.55,250000,41,0.003441,2.011e-05,0.004484,0.997879
3415,0.55,500000,41,0.003774,2.12e-05,0.004605,0.997694
3415,0.55,1000000,41,0.00323,1.548e-05,0.003934,0.998309
3415,0.55,2000000,41,0.003319,1.69e-05,0.004111,0.998163
3415,0.55,4000000,41,0.003578,1.908e-05,0.004368,0.99793
3415,0.55,8000000,41,0.003539,1.717e-05,0.004144,0.998139
3415,0.65,75000,41,0.005726,4.01e-05,0.006332,0.99612
3415,0.65,125000,41,0.005415,3.442e-05,0.005867,0.996701
3415,0.65,250000,41,0.005065,3.142e-05,0.005605,0.996993
3415,0.65,500000,41,0.004878,2.972e-05,0.005452,0.997118
3415,0.65,1000000,41,0.004772,2.798e-05,0.00529,0.997264
