hidden,depth,width,train_time_s,r2,mae,mse,rmse
"(50, 50)",2,50,53.5,0.982123,0.014809,0.00035358,0.018804
"(100, 100)",2,100,321.06,0.994719,0.007755,0.00010446,0.01022
"(200, 200)",2,200,211.35,0.997129,0.005362,5.678e-05,0.007535
"(400, 400)",2,400,649.98,0.997796,0.005041,4.359e-05,0.006602
"(50, 50, 50)",3,50,49.66,0.977015,0.017491,0.00045462,0.021322
"(100, 100, 100)",3,100,52.55,0.993694,0.007888,0.00012473,0.011168
"(200, 200, 200)",3,200,549.89,0.998106,0.004529,3.747e-05,0.006121
"(400, 400, 400)",3,400,1177.94,0.997894,0.004146,4.166e-05,0.006455
"(100, 100, 100, 100)",4,100,144.06,0.995677,0.006586,8.551e-05,0.009247
"(200, 200, 200, 200)",4,200,700.89,0.998175,0.004543,3.61e-05,0.006008
"(400, 400, 400, 400)",4,400,1092.81,0.998648,0.003945,2.674e-05,0.005171
"(100, 200, 100)",3,200,365.82,0.994497,0.007512,0.00010884,0.010432
"(200, 400, 200)",3,400,412.19,0.998077,0.00416,3.804e-05,0.006168
"(50, 100, 200, 100, 50)",5,200,722.38,0.992603,0.008314,0.00014631,0.012096
