Airfoil,Mach,Re,N_points,Cl_MAE,Cl_MSE,Cl_RMSE,Cl_R2
3415,0.25,75000,41,0.014429,0.00047403,0.021772,0.998955
3415,0.25,125000,41,0.017007,0.00053014,0.023025,0.998913
3415,0.25,250000,41,0.017453,0.00083853,0.028957,0.998238
3415,0.25,500000,41,0.01743,0.00047271,0.021742,0.998921
3415,0.25,1000000,41,0.017191,0.00038871,0.019716,0.999056
3415,0.25,2000000,41,0.016506,0.00044385,0.021068,0.9989
3415,0.25,4000000,41,0.018224,0.00063105,0.025121,0.998441
3415,0.25,8000000,41,0.019241,0.00063148,0.025129,0.998447
3415,0.35,75000,41,0.011617,0.00039035,0.019757,0.999081
3415,0.35,125000,41,0.012429,0.00028815,0.016975,0.999378
3415,0.35,250000,41,0.017364,0.00090715,0.030119,0.998043
3415,0.35,500000,41,0.016272,0.00053453,0.02312,0.998735
3415,0.35,1000000,41,0.014194,0.00026121,0.016162,0.99934
3415,0.35,2000000,41,0.015097,0.00034982,0.018703,0.999093
3415,0.35,4000000,41,0.016425,0.00038501,0.019622,0.999002
3415,0.35,8000000,41,0.017274,0.00040993,0.020247,0.998942
3415,0.45,75000,41,0.011344,0.00034942,0.018693,0.999101
3415,0.45,125000,41,0.008803,0.00014468,0.012028,0.999661
3415,0.45,250000,41,0.010644,0.00032342,0.017984,0.999256
3415,0.45,500000,41,0.015564,0.00050747,0.022527,0.998714
3415,0.45,1000000,41,0.012825,0.000229,0.015133,0.999383
3415,0.45,2000000,41,0.014458,0.00028232,0.016802,0.999214
3415,0.45,4000000,41,0.015217,0.00031285,0.017688,0.999127
3415,0.45,8000000,41,0.015189,0.00030226,0.017386,0.999161
3415,0.55,75000,41,0.012036,0.00023601,0.015363,0.999304
3415,0.55,125000,41,0.01095,0.00022228,0.014909,0.999398
3415,0.55,250000,41,0.010604,0.00023112,0.015202,0.999389
3415,0.55,500000,41,0.01254,0.00019297,0.013891,0.999457
3415,0.55,1000000,41,0.014466,0.00027362,0.016542,0.999181
3415,0.55,2000000,41,0.016468,0.00036225,0.019033,0.998879
3415,0.55,4000000,41,0.01607,0.00033915,0.018416,0.998947
3415,0.55,8000000,41,0.016405,0.00034941,0.018693,0.99892
3415,0.65,75000,41,0.008259,9.666e-05,0.009832,0.999632
3415,0.65,125000,41,0.009142,0.0001048,0.010237,0.999617
3415,0.65,250000,41,0.008814,0.00010658,0.010324,0.999619
3415,0.65,500000,41,0.008724,0.00011674,0.010805,0.999572
3415,0.65,1000000,41,0.012664,0.0002047,0.014307,0.999227
3415,0.65,2000000,41,0.012539,0.00021354,0.014613,0.999182
3415,0.65,4000000,41,0.012737,0.00023721,0.015402,0.999091
3415,0.65,8000000,41,0.015216,0.0003258,0.01805,0.998755
3415,0.7,75000,41,0.013268,0.00020641,0.014367,0.999124
3415,0.7,125000,41,0.015639,0.00028376,0.016845,0.998826
3415,0.7,250000,41,0.011136,0.00015406,0.012412,0.999377
3415,0.7,500000,41,0.01254,0.00018175,0.013481,0.999258
3415,0.7,1000000,41,0.012405,0.00017364,0.013177,0.999275
3415,0.7,2000000,41,0.012922,0.00019245,0.013872,0.99919
3415,0.7,4000000,41,0.01242,0.0001895,0.013766,0.999203
3415,0.7,8000000,41,0.013746,0.00025008,0.015814,0.998951
3415,0.75,75000,41,0.017704,0.00039282,0.01982,0.998276
3415,0.75,125000,41,0.01912,0.00049945,0.022348,0.997831
3415,0.75,250000,41,0.013764,0.00026007,0.016127,0.998895
3415,0.75,500000,41,0.012958,0.00022001,0.014833,0.999073
3415,0.75,1000000,41,0.012101,0.00021363,0.014616,0.99909
3415,0.75,2000000,41,0.010664,0.00017232,0.013127,0.999262
3415,0.75,4000000,41,0.012539,0.00021963,0.01482,0.99906
3415,0.75,8000000,41,0.015923,0.00034142,0.018477,0.998544
3415,0.8,75000,41,0.020672,0.00056052,0.023675,0.998086
3415,0.8,125000,41,0.023482,0.00081065,0.028472,0.997257
3415,0.8,250000,41,0.02108,0.00075501,0.027477,0.997492
3415,0.8,500000,41,0.018526,0.00057361,0.02395,0.998116
3415,0.8,1000000,41,0.019275,0.00058279,0.024141,0.998063
3415,0.8,2000000,41,0.017618,0.00050314,0.022431,0.998316
3415,0.8,4000000,41,0.018049,0.00054198,0.02328,0.998184
3415,0.8,8000000,41,0.025306,0.0008919,0.029865,0.997017
3415,0.85,75000,41,0.020237,0.0006673,0.025832,0.998699
3415,0.85,125000,41,0.021377,0.00075501,0.027477,0.998574
3415,0.85,250000,41,0.020852,0.00066249,0.025739,0.998782
3415,0.85,500000,41,0.025466,0.00084556,0.029078,0.998429
3415,0.85,1000000,41,0.019892,0.00055261,0.023508,0.998943
3415,0.85,2000000,41,0.017935,0.00048735,0.022076,0.999054
3415,0.85,4000000,41,0.018869,0.00052316,0.022873,0.998982
3415,0.85,8000000,41,0.022267,0.00070022,0.026462,0.99864
3415,0.9,75000,41,0.017554,0.00057301,0.023938,0.999425
3415,0.9,125000,41,0.019449,0.00067685,0.026016,0.999336
3415,0.9,250000,41,0.015813,0.0005073,0.022523,0.999512
3415,0.9,500000,41,0.016717,0.00052724,0.022962,0.999493
3415,0.9,1000000,41,0.015495,0.0004469,0.02114,0.999564
