hidden,depth,width,train_time_s,r2,mae,mse,rmse
"(50, 50)",2,50,39.15,0.969447,0.084194,0.01101989,0.104976
"(100, 100)",2,100,89.04,0.993292,0.037616,0.00241932,0.049187
"(200, 200)",2,200,176.68,0.996498,0.026182,0.00126311,0.03554
"(400, 400)",2,400,449.28,0.997419,0.02258,0.00093093,0.030511
"(50, 50, 50)",3,50,46.91,0.961757,0.092855,0.01379362,0.117446
"(100, 100, 100)",3,100,182.81,0.995904,0.029482,0.00147734,0.038436
"(200, 200, 200)",3,200,313.66,0.997412,0.021942,0.00093345,0.030552
"(400, 400, 400)",3,400,631.52,0.998751,0.015869,0.00045053,0.021226
"(100, 100, 100, 100)",4,100,145.5,0.996267,0.026675,0.00134649,0.036695
"(200, 200, 200, 200)",4,200,672.47,0.998034,0.01977,0.00070906,0.026628
"(400, 400, 400, 400)",4,400,1466.17,0.998692,0.014724,0.00047177,0.02172
"(100, 200, 100)",3,200,496.41,0.997405,0.022491,0.00093592,0.030593
"(200, 400, 200)",3,400,584.4,0.998451,0.016762,0.0005587,0.023637
"(50, 100, 200, 100, 50)",5,200,334.47,0.990814,0.042956,0.00331316,0.05756
