Airfoil,Mach,Re,N_points,Cm_MAE,Cm_MSE,Cm_RMSE,Cm_R2
3415,0.25,75000,41,0.003298,2.042e-05,0.004519,0.981256
3415,0.25,125000,41,0.004015,2.563e-05,0.005063,0.976073
3415,0.25,250000,41,0.004155,4.249e-05,0.006518,0.960032
3415,0.25,500000,41,0.00269,1.218e-05,0.00349,0.988221
3415,0.25,1000000,41,0.002692,1.481e-05,0.003849,0.985799
3415,0.25,2000000,41,0.002966,1.84e-05,0.004289,0.982312
3415,0.25,4000000,41,0.00313,2.168e-05,0.004656,0.979072
3415,0.25,8000000,41,0.00275,2.349e-05,0.004847,0.977348
3415,0.35,75000,41,0.003782,2.88e-05,0.005366,0.973811
3415,0.35,125000,41,0.004091,3.021e-05,0.005497,0.972411
3415,0.35,250000,41,0.004656,4.45e-05,0.006671,0.95857
3415,0.35,500000,41,0.003945,2.821e-05,0.005311,0.973296
3415,0.35,1000000,41,0.003329,1.644e-05,0.004055,0.984084
3415,0.35,2000000,41,0.003406,1.562e-05,0.003953,0.984819
3415,0.35,4000000,41,0.00354,1.675e-05,0.004093,0.983633
3415,0.35,8000000,41,0.003092,1.356e-05,0.003682,0.986743
3415,0.45,75000,41,0.004368,3.247e-05,0.005699,0.971348
3415,0.45,125000,41,0.005074,3.804e-05,0.006168,0.967022
3415,0.45,250000,41,0.00542,4.845e-05,0.006961,0.957037
3415,0.45,500000,41,0.005208,6.366e-05,0.007979,0.939875
3415,0.45,1000000,41,0.004222,2.658e-05,0.005156,0.974932
3415,0.45,2000000,41,0.00402,2.367e-05,0.004865,0.977543
3415,0.45,4000000,41,0.003962,2.245e-05,0.004738,0.978553
3415,0.45,8000000,41,0.003671,1.945e-05,0.004411,0.98138
3415,0.55,75000,41,0.005177,3.722e-05,0.006101,0.968895
3415,0.55,125000,41,0.005563,4.552e-05,0.006747,0.963738
3415,0.55,250000,41,0.006591,6.35e-05,0.007969,0.948938
3415,0.55,500000,41,0.006078,4.941e-05,0.007029,0.957771
3415,0.55,1000000,41,0.005507,3.889e-05,0.006236,0.965707
3415,0.55,2000000,41,0.005386,3.521e-05,0.005934,0.968521
3415,0.55,4000000,41,0.005262,3.434e-05,0.00586,0.969007
3415,0.55,8000000,41,0.004821,3.141e-05,0.005605,0.971626
3415,0.65,75000,41,0.005016,3.124e-05,0.00559,0.975864
3415,0.65,125000,41,0.004675,2.888e-05,0.005374,0.97874
3415,0.65,250000,41,0.005438,3.654e-05,0.006045,0.973543
3415,0.65,500000,41,0.005592,3.614e-05,0.006011,0.972895
3415,0.65,1000000,41,0.005323,3.291e-05,0.005737,0.974488
3415,0.65,2000000,41,0.005476,3.378e-05,0.005812,0.973319
3415,0.65,4000000,41,0.005153,3.077e-05,0.005547,0.975435
3415,0.65,8000000,41,0.004386,2.477e-05,0.004977,0.980182
3415,0.7,75000,41,0.004285,2.867e-05,0.005355,0.979718
3415,0.7,125000,41,0.004048,2.963e-05,0.005444,0.979947
3415,0.7,250000,41,0.004233,3.269e-05,0.005718,0.978362
3415,0.7,500000,41,0.00425,2.757e-05,0.005251,0.981256
3415,0.7,1000000,41,0.004216,2.855e-05,0.005343,0.980044
3415,0.7,2000000,41,0.004536,3.081e-05,0.005551,0.978107
3415,0.7,4000000,41,0.004264,2.847e-05,0.005335,0.979538
3415,0.7,8000000,41,0.003674,2.256e-05,0.004749,0.983748
3415,0.75,75000,41,0.004001,3.04e-05,0.005513,0.982631
3415,0.75,125000,41,0.004165,3.091e-05,0.00556,0.982764
3415,0.75,250000,41,0.004236,3.278e-05,0.005725,0.981976
3415,0.75,500000,41,0.003913,2.788e-05,0.00528,0.984483
3415,0.75,1000000,41,0.004269,3.159e-05,0.005621,0.982139
3415,0.75,2000000,41,0.004384,3.331e-05,0.005771,0.980971
3415,0.75,4000000,41,0.004276,3.121e-05,0.005587,0.982012
3415,0.75,8000000,41,0.004444,2.821e-05,0.005312,0.98369
3415,0.8,75000,41,0.004598,3.567e-05,0.005972,0.988782
3415,0.8,125000,41,0.004952,4.359e-05,0.006602,0.98659
3415,0.8,250000,41,0.004763,4.22e-05,0.006496,0.987286
3415,0.8,500000,41,0.003926,3.049e-05,0.005522,0.990851
3415,0.8,1000000,41,0.004265,3.322e-05,0.005763,0.990005
3415,0.8,2000000,41,0.004069,3.257e-05,0.005707,0.99012
3415,0.8,4000000,41,0.003992,3.075e-05,0.005545,0.990593
