hidden,depth,width,train_time_s,r2,mae,mse,rmse
"(50, 50)",2,50,81.1,0.950126,0.012761,0.00031617,0.017781
"(100, 100)",2,100,158.36,0.979188,0.008142,0.00013193,0.011486
"(200, 200)",2,200,237.76,0.992501,0.004849,4.754e-05,0.006895
"(400, 400)",2,400,476.24,0.994493,0.003949,3.491e-05,0.005909
"(50, 50, 50)",3,50,54.81,0.966334,0.010559,0.00021342,0.014609
"(100, 100, 100)",3,100,137.87,0.98995,0.005593,6.371e-05,0.007982
"(200, 200, 200)",3,200,390.88,0.995522,0.003892,2.839e-05,0.005328
"(400, 400, 400)",3,400,791.85,0.995641,0.003694,2.764e-05,0.005257
"(100, 100, 100, 100)",4,100,2564.31,0.987183,0.006079,8.125e-05,0.009014
"(200, 200, 200, 200)",4,200,355.32,0.994625,0.004071,3.407e-05,0.005837
"(400, 400, 400, 400)",4,400,2517.7,0.994297,0.003769,3.616e-05,0.006013
"(100, 200, 100)",3,200,617.97,0.991229,0.005161,5.56e-05,0.007456
"(200, 400, 200)",3,400,580.34,0.995338,0.003612,2.955e-05,0.005436
"(50, 100, 200, 100, 50)",5,200,242.45,0.976148,0.008645,0.00015121,0.012297
